V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-3.82313385205006,0.177734312195826,-21.5103870761756,0
factor(wave)2,-0.241312998100103,0.122902560797212,-1.96344971605813,0.0495939418353566
factor(wave)3,-0.245502628124383,0.121626611197641,-2.01849435503424,0.0435398014808557
factor(wave)4,-0.325024114662501,0.120797331567533,-2.69065641140253,0.00713115975421319
hsize,-0.149235991530601,0.00828335676646985,-18.0163665212022,0
head_gendrfemale,0.0444341657698702,0.0205148947676769,2.16594656092901,0.0303152707498211
age0-29,-0.00464963855091416,0.0509459165332354,-0.091266167483333,0.92728110019971
age50-69,0.205904486303954,0.0257930632493195,7.98294038647722,1.33226762955019e-15
age+70,0.426340723755768,0.0349100518305426,12.2125491484594,0
edu_refprimary,-0.203585318485251,0.0261403102891815,-7.78817528304197,6.88338275267597e-15
edu_reftertiary,0.127639337833555,0.0197712922832934,6.45579135671417,1.07654773984223e-10
homeownhomeowner,0.411249088478567,0.022626775421334,18.1753290436079,0
otherpmultiowner,1.73587735914459,0.0186350847350633,93.1510311771435,0
bondshas-bonds,0.650426414783462,0.038360265201634,16.9557330056143,0
mutualhas-mutual,0.433393195542249,0.0246319787463439,17.5947373130377,0
shareshas-shares,0.592182297590039,0.0246360749159102,24.0372015270827,0
managedhas-managed,0.487419767005361,0.0423673300668016,11.5046137256427,0
otherfinhas-otherfin,0.365986616404512,0.036671106934647,9.98024458483763,0
haspvpenshas-pvpens,3.57866045337044,0.0367070120451282,97.4925567074424,0
classEmployer,0.699133387140392,0.241991585743913,2.88908139095484,0.00386369054656566
classSelf-Employed,0.621301021412036,0.19182828846667,3.2388394140314,0.00120017126154703
classManager,-0.183870683400224,0.0395014753453134,-4.6547801516998,3.24326579859147e-06
classInactive,0.320608090073701,0.0266851442877666,12.0144784160181,0
random_part,0.0971270304269186,0.434809518337999,0.311613849541467,0.659378579133442
eval,99418.3677542739,99678.8370604758,-49684.183877137,99368.3677542739
