V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-2.37312870177581,0.27915051886428,-8.50125126555683,0
factor(wave)2,0.566958707241643,0.296283557803548,1.91356790584231,0.0556753891422217
factor(wave)3,0.592008430359298,0.297903497007105,1.98724901287472,0.0468948088332177
factor(wave)4,0.629895966545928,0.297887391587319,2.11454389925493,0.0344688394557278
hsize,0.0608056948466783,0.00442696495320609,13.7353007058802,0
head_gendrfemale,-0.185998989471233,0.0107158160339505,-17.3574265256085,0
tenuremortaged,0.260376503657463,0.0272504255929707,9.55495182154616,0
tenurerented,-0.580325269590521,0.0147490067315228,-39.3467356923907,0
tenurefree-use,-0.212200452278211,0.022276037643775,-9.52595141342425,0
class_nomanagerEmployer,0.297464532905605,0.163426487958584,1.82017331842185,0.0687326149902767
class_nomanagerSelf-Employed,0.504028877809504,0.152994205110542,3.29443116780359,0.000986210950227662
class_nomanagerInactive,-0.0516514358159207,0.0152042738651074,-3.39716557819026,0.000680877546671566
quintile.gincometop-income,0.344211290801426,0.0151554277875466,22.7120801620836,0
quintile.gwealthtop-wealth,1.87433965425966,0.0230423974317917,81.3430833231629,0
age0-29,-0.644489855541213,0.0315099121418979,-20.4535592685532,0
age50-69,0.494059863509275,0.0152188286441296,32.4637247098417,0
age+70,0.472835971157086,0.0213588010186035,22.1377581421937,0
quintile.gwealthtop-wealth:age0-29,0.657530294291245,0.0902603302260842,7.2848203927934,3.2218672174622e-13
quintile.gwealthtop-wealth:age50-69,0.0426991320560432,0.0274556466206539,1.5552040221818,0.1198974866884
quintile.gwealthtop-wealth:age+70,0.0718456813921947,0.0341615598819135,2.10311477697576,0.0354557375471183
random_part,0.671661764299062,0.568140014467532,0.819549555500384,0.753749746942676
eval,233693.396593658,233925.187833068,-116824.698296829,233649.396593658
