V1,mean_estimates,combined_se,t_stats,p_values
(Intercept),-4.07977297185338,0.176833422327933,-23.0712775794586,0
factor(wave)2,-0.261809561160125,0.134811960409354,-1.94203511591363,0.0521328493261017
factor(wave)3,-0.241964762479785,0.13315506488084,-1.8171652929336,0.0691918075554907
factor(wave)4,-0.312314881269035,0.132221764575682,-2.36205349604353,0.0181740194327455
hsize,-0.16145361152198,0.0084327120020486,-19.1461076202718,0
head_gendrfemale,0.0388398898660017,0.0194879403285446,1.99302179764537,0.0462590602568604
age0-29,0.0813651660109832,0.0509232265116529,1.59780068123461,0.110087342997986
age50-69,0.182156375728519,0.0257647949218239,7.06997188532731,1.54964929777179e-12
age+70,0.477063548180784,0.0350699439880902,13.6032024557209,0
edu_refprimary,-0.163813985249644,0.0261585133494559,-6.26235837875136,3.79198228372957e-10
edu_reftertiary,0.112435863708916,0.0196477481462268,5.72258270373386,1.04916741960892e-08
homeownhomeowner,0.41317491001753,0.022363839641806,18.4751329215024,0
otherpmultiowner,1.76091800788712,0.0184813038948144,95.2810482371435,0
bondshas-bonds,0.672823513046206,0.0362993884639517,18.5353952646992,0
mutualhas-mutual,0.384328013173623,0.0246746348787887,15.5758338496837,0
shareshas-shares,0.538595968384276,0.0241043337288835,22.3443624056239,0
managedhas-managed,0.468928188772886,0.0416162743915072,11.2679040983203,0
otherfinhas-otherfin,0.323623968279684,0.0364086139625522,8.88866488058416,0
haspvpenshas-pvpens,0.579378968060383,0.0200538594561971,28.8911453341887,0
class_nomanager2,0.867655761172448,0.2096410785576,4.13876787479918,3.49176012974795e-05
class_nomanager3,0.74251717032039,0.188209085487262,3.94517176680423,7.97427959671193e-05
class_nomanager4,0.421380300064659,0.0267482493052702,15.7535655980908,0
random_part,0.115760113199439,0.398581069786002,0.340194781612694,0.631305429199617
eval,95294.8704206292,95544.9209545831,-47623.4352103146,95246.8704206292
